Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Quadragintavirus ev129,2956347,Viruses;Uroviricota;Caudoviricetes;;Peduoviridae;Quadragintavirus,8,0.00348182,0.00356179
Quadrivirus ichi,3432059,Viruses;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;Quadriviridae;Quadrivirus,2,0.000870455,0.000890448
Quang Binh virus,643132,Viruses;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Orthoflavivirus,3,0.00130568,0.00133567
Quaranjavirus chadense,2956349,Viruses;Negarnaviricota;Insthoviricetes;Articulavirales;Orthomyxoviridae;Quaranjavirus,1,0.000435227,0.000445224
Quaranjavirus tyulekense,2956350,Viruses;Negarnaviricota;Insthoviricetes;Articulavirales;Orthomyxoviridae;Quaranjavirus,1,0.000435227,0.000445224
Quaranjavirus wellfleetense,2956351,Viruses;Negarnaviricota;Insthoviricetes;Articulavirales;Orthomyxoviridae;Quaranjavirus,5,0.00217614,0.00222612
Qubevirus faecium,39804,Viruses;Lenarviricota;Leviviricetes;Norzivirales;Fiersviridae;Qubevirus,2,0.000870455,0.000890448
Quesadillavirus CRB2,2956352,Viruses;Uroviricota;Caudoviricetes;;;Quesadillavirus,374,0.162775,0.166514
Quesadillavirus quesadilla,2956353,Viruses;Uroviricota;Caudoviricetes;;;Quesadillavirus,440,0.1915,0.195899
Questintvirus Q54,2845460,Viruses;Uroviricota;Caudoviricetes;;;Questintvirus,6,0.00261136,0.00267134
Quhwahvirus clearasmud,3432062,Viruses;Uroviricota;Caudoviricetes;;Hodgkinviridae;Quhwahvirus,19,0.00826932,0.00845926
Quhwahvirus honeyfin,3432063,Viruses;Uroviricota;Caudoviricetes;;Hodgkinviridae;Quhwahvirus,19,0.00826932,0.00845926
Quhwahvirus noodelyboi,3432065,Viruses;Uroviricota;Caudoviricetes;;Hodgkinviridae;Quhwahvirus,54,0.0235023,0.0240421
Quhwahvirus paschalis,2182400,Viruses;Uroviricota;Caudoviricetes;;Hodgkinviridae;Quhwahvirus,8,0.00348182,0.00356179
Quhwahvirus pulchra,3432066,Viruses;Uroviricota;Caudoviricetes;;Hodgkinviridae;Quhwahvirus,7,0.00304659,0.00311657
Quhwahvirus quhwah,3432067,Viruses;Uroviricota;Caudoviricetes;;Hodgkinviridae;Quhwahvirus,23,0.0100102,0.0102402
Quhwahvirus shotgun,3432068,Viruses;Uroviricota;Caudoviricetes;;Hodgkinviridae;Quhwahvirus,4,0.00174091,0.0017809
Quivirus qui,3060665,Viruses;Uroviricota;Caudoviricetes;;;Quivirus,20,0.00870455,0.00890448
Quwivirus caviidbeta2,3050254,Viruses;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae;Quwivirus,207,0.0900921,0.0921614
Quwivirus miniopteridbeta1,3050321,Viruses;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae;Quwivirus,125,0.0544034,0.055653
Quwivirus tupaiidbeta1,3050362,Viruses;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae;Quwivirus,563,0.245033,0.250661
RD114 retrovirus,11834,Viruses;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Gammaretrovirus,2,0.000870455,0.000890448
Rabbit astrovirus TN/2208/2010,1161132,Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,2,0.000870455,0.000890448
Rabbit calicivirus Australia 1 MIC-07,576948,Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;Lagovirus,1,0.000435227,0.000445224
Rabbit coronavirus HKU14,1160968,Viruses;Pisuviricota;Pisoniviricetes;Nidovirales;Coronaviridae;Betacoronavirus,29,0.0126216,0.0129115
Rabbit vesivirus,303317,Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;Vesivirus,2,0.000870455,0.000890448
Radbaivirus edaphadaptatum,3432105,Viruses;Lenarviricota;Leviviricetes;Norzivirales;Fiersviridae;Radbaivirus,1,0.000435227,0.000445224
Radbaivirus edaphenecus,3432106,Viruses;Lenarviricota;Leviviricetes;Norzivirales;Fiersviridae;Radbaivirus,1,0.000435227,0.000445224
Radbaivirus edaphocola,3432107,Viruses;Lenarviricota;Leviviricetes;Norzivirales;Fiersviridae;Radbaivirus,2,0.000870455,0.000890448
Radbaivirus edaphohabitans,3432108,Viruses;Lenarviricota;Leviviricetes;Norzivirales;Fiersviridae;Radbaivirus,1,0.000435227,0.000445224
Radbaivirus telluricola,2846026,Viruses;Lenarviricota;Leviviricetes;Norzivirales;Fiersviridae;Radbaivirus,1,0.000435227,0.000445224
Radbaivirus tellurihabitans,2846027,Viruses;Lenarviricota;Leviviricetes;Norzivirales;Fiersviridae;Radbaivirus,1,0.000435227,0.000445224
Radostvirus ev099,2844247,Viruses;Uroviricota;Caudoviricetes;;;Radostvirus,10,0.00435227,0.00445224
Rahariannevirus raharianne,2846050,Viruses;Uroviricota;Caudoviricetes;;;Rahariannevirus,87,0.0378648,0.0387345
Rajidapivirus ashaska,3432130,Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Rajidapivirus,1,0.000435227,0.000445224
Raleighvirus darolandstone,2734266,Viruses;Uroviricota;Caudoviricetes;;;Raleighvirus,182,0.0792114,0.0810308
Raleighvirus raleigh,2734267,Viruses;Uroviricota;Caudoviricetes;;;Raleighvirus,126,0.0548386,0.0560982
