LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	ANI_CI95	COVERED_SIG_LEN	BEST_SIG_COV	DEPTH	REL_ABUNDANCE
family	Legionellaceae	444	505	608597	0.986257	207595	0.064846	0.190106	0.003650
family	Cellulomonadaceae	85016	975	223654	0.989411	126614	0.086414	0.179476	0.003445
family	Rhodanobacteraceae	1775411	836	386744	0.987422	325359	0.101947	0.178664	0.003430
family	Methylococcaceae	403	995	510524	0.939527	13647	0.003345	0.161575	0.003102
family	Blastochloridaceae	2831090	719	246253	0.988783	232174	0.045474	0.142896	0.002743
family	Aquabacterium - no_f_rank	Aquabacterium - no_f_rank	718	320630	0.987835	80236	0.035183	0.140593	0.002699
family	Azospirillaceae	2829815	624	547757	0.985639	65928	0.019676	0.136117	0.002613
family	Ornithinimicrobiaceae	2805590	584	189050	0.989386	136618	0.086462	0.134730	0.002586
family	Geobacteraceae	213422	640	360471	0.986667	253984	0.052126	0.134546	0.002583
family	Planctomycetaceae	126	972	752299	0.986546	645819	0.112712	0.131295	0.002521
family	Desulfobulbaceae	213121	502	375172	0.987343	329076	0.106040	0.120893	0.002321
family	Oxalobacteraceae	75682	776	312504	0.985639	135082	0.026047	0.106944	0.002053
family	Rikenellaceae	171550	496	235334	0.958032	30891	0.007014	0.104942	0.002015
family	Beijerinckiaceae	45404	723	228856	0.956274	40564	0.018399	0.103804	0.001993
family	Chitinibacteraceae	2897177	423	279727	0.985860	202459	0.066022	0.101128	0.001941
family	Devosiaceae	2831106	639	224069	0.987529	196847	0.087968	0.100133	0.001922
family	Cyclobacteriaceae	563798	358	432575	0.986375	388880	0.089191	0.099212	0.001905
family	Deinococcaceae	183710	588	225503	0.987091	76970	0.031376	0.095860	0.001840
family	Syntrophobacteraceae	213465	335	305124	0.987419	289709	0.065506	0.093454	0.001794
family	Roseobacteraceae	2854170	520	114167	0.967911	100724	0.013950	0.091403	0.001755
