Contig_ID	Length(bp)	Mapped_Reads	RPM	RPKM
k141_101329	1763	52	12.8127	7.2675
k141_10133	1438	42	10.3487	7.1966
k141_101333	1578	51	12.5663	7.9634
k141_10134	1209	36	8.8703	7.3369
k141_101342	2978	138	34.0028	11.4180
k141_101345	1092	52	12.8127	11.7332
k141_101347	1738	46	11.3343	6.5214
k141_101350	1029	22	5.4207	5.2680
k141_101353	1808	71	17.4942	9.6760
k141_101356	1315	30	7.3919	5.6212
k141_101363	1084	27	6.6527	6.1372
k141_101368	1519	36	8.8703	5.8396
k141_101370	1840	71	17.4942	9.5077
k141_101371	1825	91	22.4221	12.2861
k141_101372	2056	44	10.8415	5.2731
k141_101379	1061	25	6.1599	5.8058
k141_101381	1499	53	13.0591	8.7118
k141_101384	1093	28	6.8991	6.3121
k141_101386	1195	33	8.1311	6.8043
k141_101390	1704	28	6.8991	4.0488
k141_101393	1283	26	6.4063	4.9932
k141_101394	1058	23	5.6671	5.3565
k141_101396	1316	25	6.1599	4.6808
k141_101398	1001	20	4.9279	4.9230
k141_1014	2296	77	18.9726	8.2633
k141_101400	1760	35	8.6239	4.8999
k141_101402	1332	45	11.0879	8.3242
k141_101407	1698	58	14.2910	8.4164
k141_101408	1132	41	10.1023	8.9243
k141_101411	1654	49	12.0735	7.2996
k141_101412	1543	31	7.6383	4.9503
k141_101413	2792	121	29.8141	10.6784
k141_101422	4306	155	38.1916	8.8694
k141_101423	1661	58	14.2910	8.6039
k141_101425	8466	652	160.6510	18.9760
k141_101432	1271	36	8.8703	6.9790
k141_101439	1325	36	8.8703	6.6946
k141_10144	1234	49	12.0735	9.7840
k141_101463	4402	182	44.8443	10.1873
k141_101466	1365	58	14.2910	10.4696
k141_101468	1537	50	12.3199	8.0155
k141_101473	1528	80	19.7118	12.9004
k141_101474	1400	35	8.6239	6.1599
k141_101478	1012	16	3.9424	3.8956
k141_10148	1539	60	14.7838	9.6061
k141_101480	1720	36	8.8703	5.1572
k141_101482	1209	42	10.3487	8.5597
k141_101486	1232	35	8.6239	6.9999
k141_101487	1055	18	4.4351	4.2039
k141_101489	1128	34	8.3775	7.4269
k141_101499	1361	42	10.3487	7.6037
k141_1015	1430	34	8.3775	5.8584
k141_10150	1014	21	5.1743	5.1029
k141_101500	1733	49	12.0735	6.9668
k141_101504	2112	65	16.0158	7.5832
k141_101516	2358	87	21.4366	9.0910
k141_101520	1141	26	6.4063	5.6147
k141_101534	1645	56	13.7982	8.3880
k141_101535	1042	17	4.1888	4.0199
k141_101538	1681	50	12.3199	7.3289
k141_101543	1042	21	5.1743	4.9658
k141_101546	2543	100	24.6397	9.6892
k141_10155	1076	32	7.8847	7.3278
k141_101552	2439	94	23.1613	9.4962
k141_101555	2110	100	24.6397	11.6776
k141_101569	1169	38	9.3631	8.0095
k141_10157	1523	40	9.8559	6.4714
k141_101572	1466	34	8.3775	5.7145
k141_101573	1223	33	8.1311	6.6485
k141_101579	1749	62	15.2766	8.7345
k141_101583	1225	24	5.9135	4.8274
k141_101584	1038	45	11.0879	10.6820
k141_101587	1063	32	7.8847	7.4174
k141_101591	1985	87	21.4366	10.7993
k141_101593	1011	24	5.9135	5.8492
k141_101595	1291	30	7.3919	5.7257
k141_101605	2048	76	18.7262	9.1436
k141_101607	1114	33	8.1311	7.2990
k141_101609	1453	34	8.3775	5.7657
k141_101611	1850	82	20.2046	10.9214
k141_101612	1882	68	16.7550	8.9028
k141_101619	2237	100	24.6397	11.0146
k141_101622	1275	38	9.3631	7.3436
k141_101625	1108	38	9.3631	8.4504
k141_101629	1040	65	16.0158	15.3998
k141_101634	1136	33	8.1311	7.1577
k141_101635	1111	24	5.9135	5.3227
k141_101636	1297	19	4.6815	3.6095
k141_101639	1006	24	5.9135	5.8783
k141_10164	1384	43	10.5951	7.6554
k141_101640	1493	46	11.3343	7.5916
k141_101642	1634	62	15.2766	9.3492
k141_101644	1056	27	6.6527	6.2999
k141_101645	1123	27	6.6527	5.9241
k141_101657	7357	281	69.2376	9.4111
k141_101660	1951	76	18.7262	9.5982
k141_101661	1361	40	9.8559	7.2417
k141_101662	1061	40	9.8559	9.2892
k141_101663	1357	46	11.3343	8.3524
k141_101664	1019	29	7.1455	7.0123
k141_10167	4728	271	66.7736	14.1230
k141_101671	3692	126	31.0460	8.4090
k141_101676	4004	255	62.8313	15.6921
k141_101677	1734	46	11.3343	6.5365
k141_101680	1318	46	11.3343	8.5996
k141_101684	1118	47	11.5807	10.3584
k141_101689	1468	51	12.5663	8.5601
k141_101690	7526	549	135.2721	17.9740
k141_101694	1531	38	9.3631	6.1157
k141_10170	1752	61	15.0302	8.5789
k141_101704	1108	35	8.6239	7.7833
k141_101712	1033	32	7.8847	7.6328
k141_101714	1732	44	10.8415	6.2595
k141_101717	2238	71	17.4942	7.8169
