taxonomy_id	count
3429044	111
2846430	37958
2846433	17117
2846431	12092
2846432	426
3430529	52441
3430525	5732
3430524	1615
3430528	1498
3430526	1017
3430523	718
3430527	158
3427942	62327
2845635	20003
2845633	19051
2845632	10331
2845634	6911
2846066	43909
2843923	38114
2843922	2386
2844974	32008
2844978	1154
2844972	325
2844970	293
2844975	263
2844976	224
2844971	191
2844973	182
2844977	153
3430375	8066
3430381	5131
3430374	4465
3430376	2299
3430384	1425
3430377	1208
3430383	793
3430380	252
3430379	159
2844791	12674
2844797	8664
2844795	8093
2844793	1593
2844796	967
2844794	750
2844792	577
2844790	60
2843737	33530
2843900	32964
3432813	5811
3432826	5584
3432817	3806
3432841	2843
3432825	1741
3432828	1606
3432843	1316
3432840	1201
3432814	878
3432838	867
3432844	732
3432827	624
3432842	599
3432818	527
3432824	261
2846449	210
3432823	85
3432816	77
3432815	57
3432839	24
2846663	28637
2843837	27596
2845512	21667
2845513	1592
2846384	6714
2846385	3494
2846386	709
2846387	10914
2846610	21649
2844305	17314
2844306	150
3430532	16934
2843482	16643
2845674	12854
2844810	10240
2844118	8233
2844117	1356
2846428	9489
2843644	8120
3426502	7459
3432602	2775
3432603	1890
3432601	1137
2845537	3455
2845536	1121
2845535	960
2844303	5409
2846241	4411
2846416	4109
2846417	144
2846581	4241
2846685	2322
3433560	554
2844302	2458
3428444	1145
3428445	694
3428443	558
2845558	2384
2845585	2332
2844408	1235
2844409	1096
2845989	2310
2845853	1439
2845854	634
2845855	150
2845066	2077
2845615	1938
2844274	817
2844275	693
2845628	1173
2845629	282
2845627	41
2845483	1296
2845867	767
2843883	694
2846413	441
2846412	241
2846438	649
2846424	622
3427661	463
2846583	422
2846226	415
3431213	387
2845972	348
2844986	339
2844988	303
2845510	239
2845484	218
2845532	195
2845025	139
2845753	127
2844282	119
2845861	103
2844280	45
2843939	1523509
2846622	793020
2845534	212673
2845671	1187
2846208	945
2846065	748
2846446	615
2843925	477
2845694	270
2845672	139249
2845519	46342
2845729	20402
2845730	13134
3431554	2031
2845728	1688
2846177	34996
2845116	13371
2845115	11916
2845114	25290
2844070	18231
2844053	17160
2845058	9877
2845024	6755
2845038	6656
2845062	5808
2844069	5122
2846678	3239
2843864	2178
2845752	2020
2846210	341
2844819	111
2844650	34
2843658	13
2845573	11
2845037	11
2845579	110427
2846437	4359
2846169	875
2846664	275
2845679	615
2846234	340
2164100	3748
1856767	1121
1678180	5
1077832	3
1985159	2
3431059	139
2587225	79
1849532	16
1849531	12
2364201	7
908834	3
2364202	2
1856627	1
2364200	1
3431058	24
2955793	1449
2955836	779
2955792	150
2955804	97
2955773	69
2955832	40
2955790	28
2955766	26
2955833	25
2955783	24
2955782	18
2955803	15
2955837	12
2955798	11
2955791	10
2955777	10
2955775	10
2955794	8
2955780	8
2955779	8
2955801	7
2955788	7
2955799	5
2955776	5
2955805	4
2955774	4
2955768	4
2955767	3
2955797	3
2955795	3
2955786	3
2955770	3
2955784	3
2955772	3
2955796	3
2955800	2
2955785	2
2955806	2
2955778	1
2955838	1
2955802	1
2955787	1
2956623	303
2956591	36
2956615	31
2956598	27
2956610	18
2956590	16
2956622	15
2956595	14
2956618	13
2956582	10
2956592	9
2956593	8
2956608	6
2956603	6
2956599	5
2956621	5
2956617	5
2956596	5
2956627	4
2956609	4
2956584	3
2956625	2
2956613	2
2956626	2
2956602	1
2956594	1
2956589	1
2956607	1
2956601	1
2956612	1
2956552	58
2956545	57
2956544	15
2956547	11
2956551	10
2020287	34
1712387	12
2052563	12
1136061	11
2320183	11
2052561	2
2956098	5
2956407	506
3432305	60
3060689	58
2956405	32
3060688	26
3432306	24
2956423	23
2956408	14
2956412	14
2956409	8
2956406	6
2956414	6
2956422	12
2956411	3
2956417	2
3432308	2
2956421	2
2956415	2
2956292	143
2956289	47
2956294	33
2956297	32
2956286	24
2956290	23
3431572	22
3060538	17
3431573	16
2956288	16
3431575	10
2956295	8
2956287	9
2956284	7
3431565	4
3431568	4
3431571	4
2956293	3
2956285	3
2956291	2
3431574	2
2956296	1
2956172	64
3430597	34
3060178	22
2956160	18
2956157	17
2956154	14
2956162	14
3430596	13
2956153	13
3430599	12
2956150	11
3430592	11
2956158	9
2956165	8
2956164	6
2956151	4
2956163	4
3430595	4
3430594	4
3060181	4
2956173	4
2956178	3
2956168	2
2956155	2
2956171	2
3060179	2
2956176	2
2956159	1
2956177	1
2956175	1
2956174	1
2956161	1
2955518	39
2955519	33
2955520	20
3427572	10
2955525	9
3059792	5
2955530	5
2955527	4
